"","Seu vínculo atual com a USP é como","Gênero","Cor (IBGE)"
"440","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"441","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"442","Docente","Feminino","Branca"
"443","Docente","Masculino","Branca"
"444","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Parda"
"445","Docente","Feminino","Branca"
"446","Docente","Masculino","Branca"
"447","Docente","Masculino","Parda"
"448","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Amarela"
"449","Docente","Feminino","Branca"
"450","Docente","Masculino","Amarela"
"451","Docente","Feminino","Branca"
"452","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Parda"
"453","Docente","Feminino","Branca"
"454","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Parda"
"455","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"456","Docente","Feminino","Branca"
"457","Docente","Feminino","Branca"
"458","Docente","Feminino","Branca"
"459","Docente","Feminino","Branca"
"460","Docente","Masculino","Branca"
"461","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"462","Docente","Feminino","Branca"
"463","Estudante","Feminino","Branca"
"464","Docente","Feminino","Branca"
"465","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Parda"
"466","Docente","Feminino","Branca"
"467","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"468","Docente","Feminino","Branca"
"469","Docente","Masculino","Branca"
"470","Docente","Masculino","Branca"
"471","Docente","Feminino","Branca"
"472","Docente","Masculino","Amarela"
"473","Estudante","Masculino","Parda"
"474","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"475","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Parda"
"476","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"477","Docente","Masculino","Branca"
"478","Estudante","Masculino","Branca"
"479","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Parda"
"480","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"481","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"482","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Amarela"
"483","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"484","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"485","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"486","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"487","Docente","Masculino","Parda"
"488","Docente","Feminino","Branca"
"489","Docente","Feminino","Branca"
"490","Docente","Feminino","Branca"
"491","Docente","Masculino","Branca"
"492","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"493","Docente","Feminino","Branca"
"494","Docente","Feminino","Branca"
"495","Docente","Feminino","Amarela"
"496","Docente","Feminino","Branca"
"497","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Amarela"
"498","Docente","Feminino","Branca"
"499","Estudante","Feminino","Parda"
"500","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"501","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Parda"
"502","Estudante","Feminino","Amarela"
"503","Docente","Feminino","Branca"
"504","Docente","Masculino","Branca"
"505","Docente","Feminino","Branca"
"506","Docente","Feminino","Branca"
"507","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"508","Docente","Masculino","Branca"
"509","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Amarela"
"510","Docente","Feminino","Branca"
"511","Docente","Feminino","Branca"
"512","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"513","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"514","Docente","Masculino","Branca"
"515","Docente","Masculino","Branca"
"516","Docente","Feminino","Branca"
"517","Docente","Masculino","Branca"
"518","Docente","Feminino","Branca"
"519","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"520","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"521","Estudante","Masculino","Branca"
"522","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"523","Docente","Feminino","Branca"
"524","Docente","Feminino","Branca"
"525","Docente","Masculino","Branca"
"526","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"527","Estudante","Masculino","Parda"
"528","Docente","Masculino","Branca"
"529","Docente","Masculino","Branca"
"530","Docente","Masculino","Branca"
"531","Docente","Feminino","Branca"
"532","Docente","Feminino","Branca"
"533","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Amarela"
"534","Estudante","Não-binário","Branca"
"535","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"536","Docente","Feminino","Branca"
"537","Estudante","Masculino","Branca"
"538","Estudante","Feminino","Branca"
"539","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"540","Estudante","Feminino","Branca"
"541","Docente","Feminino","Branca"
"542","Docente","Feminino","Branca"
"543","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"544","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"545","Docente","Feminino","Branca"
"546","Estudante","Feminino","Branca"
"547","Estudante","Feminino","Amarela"
"548","Estudante","Feminino","Branca"
"549","Docente","Feminino","Branca"
"550","Estudante","Feminino","Branca"
"551","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"552","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"553","Estudante","Feminino","Branca"
"554","Estudante","Feminino","Branca"
"555","Docente","Masculino","Branca"
"556","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Preta"
"557","Estudante","Masculino","Branca"
"558","Estudante","Feminino","Branca"
"559","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"560","Docente","Feminino","Branca"
"561","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Parda"
"562","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"563","Docente","Masculino","Branca"
"564","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"565","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"566","Docente","Masculino","Branca"
"567","Estudante","Feminino","Branca"
"568","Estudante","Masculino","Preta"
"569","Estudante","Feminino","Branca"
"570","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"571","Estudante","Feminino","Branca"
"572","Docente","Masculino","Branca"
"573","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"574","Docente","Masculino","Amarela"
"575","Docente","Masculino","Branca"
"576","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Parda"
"577","Estudante","Masculino","Branca"
"578","Docente","Feminino","Branca"
"579","Estudante","Feminino","Branca"
"580","Docente","Feminino","Parda"
"581","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"582","Docente","Feminino","Branca"
"583","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"584","Docente","Feminino","Branca"
"585","Docente","Feminino","Branca"
"586","Estudante","Masculino","Branca"
"587","Docente","Masculino","Branca"
"588","Estudante","Masculino","Branca"
"589","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"590","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"591","Estudante","Masculino","Amarela"
"592","Docente","Feminino","Branca"
"593","Estudante","Feminino","Branca"
"594","Estudante","Feminino","Parda"
"595","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"596","Estudante","Feminino","Amarela"
"597","Estudante","Feminino","Preta"
"598","Estudante","Feminino","Branca"
"599","Servidor(a) técnico(a)/ administrativo(a)","Masculino","Branca"
"600","Docente","Masculino","Amarela"
"601","Estudante","Masculino","Branca"
"602","Estudante","Feminino","Branca"
"603","Docente","Feminino","Branca"
"604","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"605","Estudante","Feminino","Amarela"
"606","Docente","Masculino","Branca"
"607","Estudante","Feminino","Parda"
"608","Estudante","Feminino","Branca"
"609","Estudante","Masculino","Branca"
"610","Docente","Masculino","Amarela"
"611","Estudante","Feminino","Branca"
"612","Estudante","Feminino","Branca"
"613","Estudante","Masculino","Branca"
"614","Servidor(a) técnico(a)/ administrativo(a)","Feminino","Branca"
"615","Estudante","Feminino","Branca"
"616","Estudante","Feminino","Branca"
